Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000102343,Gm37381,0.0,-0.40489401441120876,1.0,0.00017912471846579252,0.40489401441120876,1.0
ENSMUSG00000033845,Mrpl15,0.012718557348977302,-3.3356313519740945,2.971111173345511e-29,0.13094016919849433,3.3356313519740945,2.971111173345511e-29
ENSMUSG00000025903,Lypla1,0.048709368570551366,-0.49376276291026766,0.061491371081999445,0.06878389189086433,0.49376276291026766,0.061491371081999445
ENSMUSG00000033813,Tcea1,0.07144040723680867,-1.872714853094459,4.418305428620953e-16,0.26241771255238605,1.872714853094459,4.418305428620953e-16
ENSMUSG00000002459,Rgs20,0.0,-1.9898565151323648,0.26709853074338086,0.0008956235923289626,1.9898565151323648,0.26709853074338086
ENSMUSG00000085623,Gm16041,0.0005412152063394597,2.1800684863099473,0.2573276720263977,0.0,-2.1800684863099473,0.2573276720263977
ENSMUSG00000033793,Atp6v1h,0.23921712120204117,0.18129162757938877,0.4976082180019128,0.21100891835270358,-0.18129162757938877,0.4976082180019128
ENSMUSG00000025907,Rb1cc1,0.7825971883668587,1.1176086255116064,1.1027666142023181e-08,0.3605780582716403,-1.1176086255116064,1.1027666142023181e-08
ENSMUSG00000090031,4732440D04Rik,0.10283088920449733,1.2087512410140326,1.1192265467686156e-07,0.04442293017951654,-1.2087512410140326,1.1192265467686156e-07
ENSMUSG00000087247,Alkal1,0.0,-0.9898565151323648,0.7268251416339769,0.00035824943693158503,0.9898565151323648,0.7268251416339769
ENSMUSG00000033740,St18,0.0,-2.7268221092985705,0.03159147971797183,0.0016121224661921325,2.7268221092985705,0.03159147971797183
ENSMUSG00000051285,Pcmtd1,0.11771430737883247,0.13447161986983724,0.6566339702672755,0.10729570636100971,-0.13447161986983724,0.6566339702672755
ENSMUSG00000097797,Gm26901,0.0021648608253578387,1.4431028921437417,0.14501658727258798,0.0007164988738631701,-1.4431028921437417,0.14501658727258798
ENSMUSG00000061024,Rrs1,0.011636126936298383,-2.603673878525706,1.1786546919630477e-19,0.07218726154171438,2.603673878525706,1.1786546919630477e-19
ENSMUSG00000025911,Adhfe1,0.0018942532221881087,-0.31178461001972657,0.8046985928450863,0.002507746058521095,0.31178461001972657,0.8046985928450863
ENSMUSG00000079671,2610203C22Rik,0.0,-4.404894014411209,2.6665017079467865e-06,0.0055528662724395675,4.404894014411209,2.6665017079467865e-06
ENSMUSG00000025912,Mybl1,0.001353038015848649,-1.6779125088176245,0.01347690552519998,0.00501549211704219,1.6779125088176245,0.01347690552519998
ENSMUSG00000045210,Vcpip1,0.07306405285582705,-0.515037787528104,0.03669568716633265,0.10460883558402283,0.515037787528104,0.03669568716633265
ENSMUSG00000097893,1700034P13Rik,0.0,-0.9898565151323648,0.6566339702672755,0.00035824943693158503,0.9898565151323648,0.6566339702672755
ENSMUSG00000025915,Sgk3,0.08875929383967138,-0.4395550218578257,0.06991516426419724,0.12055093552747836,0.4395550218578257,0.06991516426419724
ENSMUSG00000046101,Mcmdc2,0.002976683634867028,-0.9898565151323648,0.09285493415661816,0.006269365146302738,0.9898565151323648,0.09285493415661816
ENSMUSG00000098234,Snhg6,0.012177342142637841,-3.046238985029883,3.4553500331111295e-26,0.10263846368089911,3.046238985029883,3.4553500331111295e-26
ENSMUSG00000099032,Tcf24,0.0,-1.7268221092985705,0.2573276720263977,0.0007164988738631701,1.7268221092985705,0.2573276720263977
ENSMUSG00000025916,Ppp1r42,0.006494582476073515,2.917034080476154,0.004112383096382722,0.0007164988738631701,-2.917034080476154,0.004112383096382722
ENSMUSG00000025917,Cops5,0.025166507094784872,-2.244767857343888,2.0861955618493435e-18,0.12037181080901256,2.244767857343888,2.0861955618493435e-18
ENSMUSG00000056763,Cspp1,0.0863238254111438,0.27678914425380796,0.3291203289467389,0.07129163794938542,-0.27678914425380796,0.3291203289467389
ENSMUSG00000067851,Arfgef1,0.2251455258372152,0.3372767388862581,0.1445373126727962,0.17822909487346356,-0.3372767388862581,0.1445373126727962
ENSMUSG00000042501,Cpa6,0.0018942532221881087,2.5951059855887912,0.019318694413582374,0.00017912471846579252,-2.5951059855887912,0.019318694413582374
ENSMUSG00000048960,Prex2,0.0008118228095091894,0.5951059855887912,0.8513259754894986,0.0005373741553973776,-0.5951059855887912,0.8513259754894986
ENSMUSG00000057715,A830018L16Rik,0.0,-0.9898565151323648,0.6566339702672755,0.00035824943693158503,0.9898565151323648,0.6566339702672755
ENSMUSG00000016918,Sulf1,0.0,-0.9898565151323648,0.6873421943607263,0.00035824943693158503,0.9898565151323648,0.6873421943607263
ENSMUSG00000025938,Slco5a1,0.0005412152063394597,0.18006848630994732,1.0,0.0005373741553973776,-0.18006848630994732,1.0
ENSMUSG00000005886,Ncoa2,0.10634878804570382,0.41302678386185,0.08559854809609009,0.07988962443574346,-0.41302678386185,0.08559854809609009
ENSMUSG00000101476,Gm29570,0.0,-0.40489401441120876,1.0,0.00017912471846579252,0.40489401441120876,1.0
ENSMUSG00000025935,Tram1,0.08009985053824002,-1.5203712318311444,5.010112066349898e-12,0.23035438794700916,1.5203712318311444,5.010112066349898e-12
ENSMUSG00000025937,Lactb2,0.012447949745807572,-1.625092222334744,1.029469934781268e-06,0.03904918862554277,1.625092222334744,1.029469934781268e-06
ENSMUSG00000067813,Xkr9,0.0,-0.40489401441120876,1.0,0.00017912471846579252,0.40489401441120876,1.0
ENSMUSG00000025932,Eya1,0.00027060760316972984,-3.574819015853521,5.37323884170838e-06,0.006269365146302738,3.574819015853521,5.37323884170838e-06
ENSMUSG00000032769,Trpa1,0.0,-0.40489401441120876,1.0,0.00017912471846579252,0.40489401441120876,1.0
ENSMUSG00000025925,Terf1,0.021648608253578384,-0.7089002013013088,0.015272955903002598,0.03564581897469271,0.7089002013013088,0.015272955903002598
ENSMUSG00000067795,4930444P10Rik,0.0,-0.40489401441120876,1.0,0.00017912471846579252,0.40489401441120876,1.0
ENSMUSG00000043716,Rpl7,0.6938378945271872,-2.6293339224790233,7.149638588126155e-35,4.294156875780444,2.6293339224790233,7.149638588123513e-35
ENSMUSG00000025921,Rdh10,0.008118228095091894,-1.2188820288012598,0.0017214458401566019,0.01934546959430559,1.2188820288012598,0.0017214458401566019
ENSMUSG00000025920,Stau2,0.002435468428527568,-3.2628750095387815,1.1315804286498245e-14,0.02579395945907412,3.2628750095387815,1.1315804286498245e-14
ENSMUSG00000089982,Gm7568,0.0,-0.40489401441120876,1.0,0.00017912471846579252,0.40489401441120876,1.0
ENSMUSG00000025939,Ube2w,0.04275600130081731,-0.5798510929499052,0.03210734732476969,0.06412664921075371,0.5798510929499052,0.03210734732476969
