Feature,Normalized.Dispersion
ENSMUSG00000025900,nan
ENSMUSG00000025902,4.790451321257857
ENSMUSG00000104238,nan
ENSMUSG00000033845,1.9189740838032197
ENSMUSG00000025903,-1.2166519585003714
ENSMUSG00000033813,2.364942387473946
ENSMUSG00000002459,0.7214507200802864
ENSMUSG00000085623,nan
ENSMUSG00000033793,2.018211366156409
ENSMUSG00000025907,1.5773238623282677
ENSMUSG00000090031,-0.42446036782078134
ENSMUSG00000087247,1.63478029238919
ENSMUSG00000033740,-1.2282895430673197
ENSMUSG00000051285,-0.9795559669544436
ENSMUSG00000097797,1.3551286432464305
ENSMUSG00000061024,1.4511276519137477
ENSMUSG00000025911,0.8262109770464278
ENSMUSG00000079671,-0.05359635234093587
ENSMUSG00000067879,nan
ENSMUSG00000025912,1.4030672773743575
ENSMUSG00000045210,-0.7854590633620919
ENSMUSG00000097893,-1.468830058027097
ENSMUSG00000025915,0.6724151870541898
ENSMUSG00000046101,-0.8207375700823796
ENSMUSG00000098234,2.3928684092928028
ENSMUSG00000099032,nan
ENSMUSG00000025916,-0.9391709100380823
ENSMUSG00000087199,nan
ENSMUSG00000025917,0.46266473367114347
ENSMUSG00000056763,-0.6686113176742648
ENSMUSG00000067851,-1.5907128515248925
ENSMUSG00000042501,nan
ENSMUSG00000048960,0.8887013006959956
ENSMUSG00000016918,3.6290201356451637
ENSMUSG00000025938,7.055020445559846
ENSMUSG00000042414,nan
ENSMUSG00000005886,-1.1077561968659015
ENSMUSG00000025935,-0.815131337356924
ENSMUSG00000025937,4.617034487398266
ENSMUSG00000025932,-0.5473618596565115
ENSMUSG00000025930,nan
ENSMUSG00000025925,-0.5802356133706017
ENSMUSG00000043716,-1.2445581062144184
ENSMUSG00000025921,0.8827755425323569
ENSMUSG00000025920,-0.34140039687676826
ENSMUSG00000025939,0.5505717503191923
ENSMUSG00000079658,-0.8885230302827518
ENSMUSG00000025940,6.203025934285094
ENSMUSG00000025779,0.35840142222385324
ENSMUSG00000042686,nan
ENSMUSG00000067780,2.4970793367657773
ENSMUSG00000025929,74.11592443101723
ENSMUSG00000041872,1.6430275850989458
ENSMUSG00000041859,1.9717226979055846
ENSMUSG00000097934,nan
ENSMUSG00000025931,-1.2133336374649244
ENSMUSG00000041809,1.2200188682799584
