Feature,Normalized.Dispersion
ENSMUSG00000102343,nan
ENSMUSG00000033845,4.131944701054771
ENSMUSG00000025903,-0.48911661771239173
ENSMUSG00000033813,2.4569630305059302
ENSMUSG00000002459,1.8386480438770032
ENSMUSG00000085623,nan
ENSMUSG00000033793,1.9393121749799567
ENSMUSG00000025907,0.7250059363208038
ENSMUSG00000090031,-0.3162169959236281
ENSMUSG00000087247,nan
ENSMUSG00000033740,-2.536445650040121
ENSMUSG00000051285,2.158762314639006
ENSMUSG00000097797,-0.2213651759595356
ENSMUSG00000061024,-1.315892721801674
ENSMUSG00000025911,0.0018675912156432912
ENSMUSG00000079671,-0.2466848802072271
ENSMUSG00000025912,-1.1135498289296022
ENSMUSG00000045210,-0.555232737192724
ENSMUSG00000097893,nan
ENSMUSG00000025915,-1.2009419722114258
ENSMUSG00000046101,-1.2080248956603485
ENSMUSG00000098234,0.6457402179852478
ENSMUSG00000099032,-0.07301766292932223
ENSMUSG00000025916,3.8102267677543753
ENSMUSG00000025917,-0.12649683150723826
ENSMUSG00000056763,2.04086665128407
ENSMUSG00000067851,0.3413365017705814
ENSMUSG00000042501,-0.18461714352538
ENSMUSG00000048960,2.310069516386846
ENSMUSG00000057715,nan
ENSMUSG00000016918,nan
ENSMUSG00000025938,3.1086717438625056
ENSMUSG00000005886,-0.3329397791367739
ENSMUSG00000101476,nan
ENSMUSG00000025935,-1.4829924884838666
ENSMUSG00000025937,1.8945978240464323
ENSMUSG00000067813,nan
ENSMUSG00000025932,-1.1008367867099202
ENSMUSG00000032769,nan
ENSMUSG00000025925,-1.5753663886293965
ENSMUSG00000067795,nan
ENSMUSG00000043716,-0.41975220195951346
ENSMUSG00000025921,0.6854093826766717
ENSMUSG00000025920,-0.29827192210083053
ENSMUSG00000089982,nan
ENSMUSG00000025939,0.9370982597434898
ENSMUSG00000079658,-1.360268972743269
ENSMUSG00000097744,5.933638310581874
ENSMUSG00000025940,-0.6913900783441169
ENSMUSG00000025779,-0.22285719379231403
ENSMUSG00000042686,nan
ENSMUSG00000067780,nan
ENSMUSG00000025927,4.880298397024494
ENSMUSG00000043760,nan
ENSMUSG00000041872,nan
ENSMUSG00000041859,2.808765264109584
ENSMUSG00000025931,0.2114695436248083
ENSMUSG00000041809,2.987255666691552
ENSMUSG00000041779,1.6880842321301077
ENSMUSG00000099971,nan
ENSMUSG00000025933,1.9622927930559464
ENSMUSG00000025934,-4.112320440767578
ENSMUSG00000085079,nan
ENSMUSG00000028033,nan
ENSMUSG00000026158,1.6048961227486223
ENSMUSG00000026156,1.9042927894362793
ENSMUSG00000026155,0.6031137181155278
ENSMUSG00000026154,2.528167496926552
ENSMUSG00000026153,-0.6562461301119384
ENSMUSG00000026141,nan
ENSMUSG00000073725,-2.132487094057978
ENSMUSG00000073722,nan
ENSMUSG00000048874,-0.37537749203526244
ENSMUSG00000026064,1.714075012772198
ENSMUSG00000117310,-0.9926896914765624
ENSMUSG00000026058,0.4264482429379525
ENSMUSG00000091318,0.7200626898088223
ENSMUSG00000026134,5.314242707355136
ENSMUSG00000004768,-0.37201695407813135
ENSMUSG00000042215,1.9730187521505345
ENSMUSG00000042197,-2.7925270742467414
ENSMUSG00000042182,-0.5653691107839254
ENSMUSG00000026131,-0.011008483880938384
ENSMUSG00000096992,nan
ENSMUSG00000102336,2.223652222879062
ENSMUSG00000042111,-0.6029540101596766
ENSMUSG00000101711,nan
ENSMUSG00000026127,-0.07945944092066973
ENSMUSG00000026126,0.12741861359520082
ENSMUSG00000100280,0.048006834236914486
ENSMUSG00000101223,-1.5123661494758411
ENSMUSG00000026125,-0.3875524148305676
ENSMUSG00000037509,-0.0018675912156433925
ENSMUSG00000104002,-0.4862446944325878
ENSMUSG00000037503,-0.9237763580648657
