Feature
1,ENSMUSG00000045761
2,ENSMUSG00000111503
3,ENSMUSG00000054057
4,ENSMUSG00000101174
5,ENSMUSG00000051375
6,ENSMUSG00000043219
7,ENSMUSG00000010080
8,ENSMUSG00000061013
9,ENSMUSG00000118257
10,ENSMUSG00000074206
11,ENSMUSG00000021379
12,ENSMUSG00000060176
13,ENSMUSG00000042115
14,ENSMUSG00000093587
15,ENSMUSG00000037973
16,ENSMUSG00000097027
17,ENSMUSG00000055976
18,ENSMUSG00000070687
19,ENSMUSG00000030513
20,ENSMUSG00000063727
21,ENSMUSG00000055134
22,ENSMUSG00000032714
23,ENSMUSG00000028536
24,ENSMUSG00000086382
25,ENSMUSG00000029769
26,ENSMUSG00000093726
27,ENSMUSG00000056155
28,ENSMUSG00000047230
29,ENSMUSG00000030093
30,ENSMUSG00000027376
31,ENSMUSG00000025105
32,ENSMUSG00000019124
33,ENSMUSG00000037568
34,ENSMUSG00000006143
35,ENSMUSG00000000126
36,ENSMUSG00000029055
37,ENSMUSG00000097755
38,ENSMUSG00000026304
39,ENSMUSG00000032358
40,ENSMUSG00000002808
41,ENSMUSG00000026417
42,ENSMUSG00000114957
43,ENSMUSG00000070469
44,ENSMUSG00000043003
45,ENSMUSG00000024376
46,ENSMUSG00000023931
47,ENSMUSG00000030800
48,ENSMUSG00000028555
49,ENSMUSG00000041287
50,ENSMUSG00000033207
51,ENSMUSG00000097482
52,ENSMUSG00000036957
53,ENSMUSG00000052353
54,ENSMUSG00000079602
55,ENSMUSG00000086254
56,ENSMUSG00000039405
57,ENSMUSG00000045007
58,ENSMUSG00000021492
59,ENSMUSG00000031284
60,ENSMUSG00000022178
61,ENSMUSG00000085091
62,ENSMUSG00000070643
63,ENSMUSG00000085253
64,ENSMUSG00000087519
65,ENSMUSG00000031994
66,ENSMUSG00000078719
67,ENSMUSG00000099102
68,ENSMUSG00000025427
69,ENSMUSG00000095217
70,ENSMUSG00000031750
71,ENSMUSG00000030739
72,ENSMUSG00000075099
73,ENSMUSG00000027859
74,ENSMUSG00000085569
75,ENSMUSG00000019846
76,ENSMUSG00000087028
77,ENSMUSG00000028539
78,ENSMUSG00000089876
79,ENSMUSG00000048482
80,ENSMUSG00000097084
81,ENSMUSG00000113056
82,ENSMUSG00000068962
83,ENSMUSG00000111792
84,ENSMUSG00000006313
85,ENSMUSG00000068270
86,ENSMUSG00000026494
87,ENSMUSG00000034607
88,ENSMUSG00000024479
89,ENSMUSG00000026224
90,ENSMUSG00000050541
91,ENSMUSG00000091764
92,ENSMUSG00000047342
93,ENSMUSG00000025934
94,ENSMUSG00000003934
95,ENSMUSG00000025329
96,ENSMUSG00000029381
97,ENSMUSG00000040473
98,ENSMUSG00000085785
99,ENSMUSG00000084883
100,ENSMUSG00000075588
101,ENSMUSG00000041857
102,ENSMUSG00000097503
103,ENSMUSG00000027220
104,ENSMUSG00000024228
105,ENSMUSG00000090744
106,ENSMUSG00000108015
107,ENSMUSG00000042155
108,ENSMUSG00000085448
109,ENSMUSG00000055632
110,ENSMUSG00000040563
111,ENSMUSG00000059027
112,ENSMUSG00000054293
113,ENSMUSG00000049303
114,ENSMUSG00000021509
115,ENSMUSG00000115149
116,ENSMUSG00000023019
117,ENSMUSG00000048826
118,ENSMUSG00000042734
119,ENSMUSG00000038668
120,ENSMUSG00000048142
121,ENSMUSG00000053181
122,ENSMUSG00000109248
123,ENSMUSG00000042105
124,ENSMUSG00000040963
125,ENSMUSG00000033096
126,ENSMUSG00000068876
127,ENSMUSG00000025608
128,ENSMUSG00000085101
129,ENSMUSG00000025575
130,ENSMUSG00000035451
131,ENSMUSG00000043807
132,ENSMUSG00000021583
133,ENSMUSG00000019373
134,ENSMUSG00000034757
135,ENSMUSG00000039110
136,ENSMUSG00000087263
137,ENSMUSG00000007030
138,ENSMUSG00000020334
139,ENSMUSG00000111371
140,ENSMUSG00000036155
141,ENSMUSG00000039497
