Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000102343,Gm37381,0.0,-0.2054652279623248,1.0,0.0001889261099490098,0.5905687729247511,1.0,0.0,2.871908023853191,1.0
ENSMUSG00000033845,Mrpl15,0.011790075002790551,-3.377343777490392,1.4720144146697238e-27,0.1297922375349697,2.4932715715698355,1.7902658118210903e-20,0.0861004555262527,0.06455310179558627,1.0
ENSMUSG00000025903,Lypla1,0.051286826262138895,-0.365278913437348,0.20027854430794764,0.06990266068113361,0.5185138357959436,0.041922741906401044,0.0337648845200991,-0.8258869730323379,0.6299921756829354
ENSMUSG00000033813,Tcea1,0.07575123189292929,-1.7187796875749197,3.34358005568796e-13,0.2586398445201944,1.5146739238854687,9.253720765101978e-12,0.17388915527851034,-0.09565079367824536,1.0
ENSMUSG00000002459,Rgs20,0.0,-1.7904277286834809,0.27250415581065496,0.0009446305497450489,2.175531273645907,0.1377699139419011,0.0,1.2869455231320348,1.0
ENSMUSG00000085623,Gm16041,0.0005895037501395275,2.3794972727588313,0.2241845021198382,0.0,-1.994393727796405,0.29488988592253146,0.0,2.286945523132035,1.0
ENSMUSG00000033793,Atp6v1h,0.25319186068492705,0.30910794486743365,0.19728849989958214,0.2163203958916162,-0.08939024173215282,0.7848737748245453,0.09791816510828738,-1.2148354481272512,0.20053218343756646
ENSMUSG00000025907,Rb1cc1,0.8382743326984081,1.2589190918635114,1.360649057535363e-10,0.37218443659954925,-0.9843554188749764,5.582801356116723e-07,0.1536302245664509,-1.8378501028206184,0.011664552735547111
ENSMUSG00000090031,4732440D04Rik,0.10846869002567307,1.2941057815281871,1.4479027212806667e-08,0.04534226638776235,-1.1001682358314797,1.535293925601368e-06,0.0337648845200991,-0.9860729712743814,0.4659553779701105
ENSMUSG00000087247,Alkal1,0.0,-0.7904277286834809,1.0,0.0001889261099490098,-0.4094312270752489,1.0,0.0016882442260049548,3.871908023853191,0.5780978343807904
ENSMUSG00000033740,St18,0.0,-2.5273933228496865,0.06519966135989129,0.0017003349895410881,2.912496867812113,0.029734105994951462,0.0,0.5499799289658274,1.0
ENSMUSG00000051285,Pcmtd1,0.12350103565423101,0.24199374900889703,0.3861583823229982,0.10957714377042567,-0.05675960875677921,0.909417602225213,0.05908854791017342,-0.923951259366584,0.49110023410651493
ENSMUSG00000097797,Gm26901,0.00235801500055811,1.6425316785926256,0.07850956531635496,0.0007557044397960392,-1.2574281336301993,0.2493825154875139,0.0,0.17146830571209826,1.0
ENSMUSG00000061024,Rrs1,0.010905819377581259,-2.6370178140241856,1.2124676826273747e-18,0.07405903510001184,2.427594561658697,8.965903905563307e-19,0.028700151842084232,-0.7063598242939575,0.7468868583421414
ENSMUSG00000025911,Adhfe1,0.0020632631254883464,-0.11235582357084262,0.9710365337909621,0.002644965539286137,0.4974593685332689,0.6616633269964002,0.0,-0.5875235947841073,1.0
ENSMUSG00000079671,2610203C22Rik,0.0,-4.205465227962325,8.050010837454255e-06,0.005667783298470294,3.544765083311626,1.2477599748923531e-05,0.0016882442260049548,-0.0822882865336858,1.0
ENSMUSG00000025912,Mybl1,0.001473759375348819,-1.4784837223687406,0.03243805826392358,0.005289931078572274,1.8635872673311669,0.005215277659646181,0.0,-1.215554817397149,0.8797016122510745
ENSMUSG00000045210,Vcpip1,0.0739827206425107,-0.46659004378748703,0.06954993928673288,0.10693217823113954,0.5628480153663009,0.018107201827242788,0.06246503636218333,-0.5561214956449732,0.8925787006423255
ENSMUSG00000097893,1700034P13Rik,0.0,-0.7904277286834809,0.6848311317774121,0.0003778522198980196,1.1755312736459071,0.6460487371626975,0.0,2.286945523132035,1.0
ENSMUSG00000025915,Sgk3,0.09638386314781275,-0.24665691528243405,0.3952878428515356,0.12299089757680537,0.4839697068512674,0.04012980461489565,0.03882961719811396,-1.4782945250293489,0.10363303529082742
ENSMUSG00000046101,Mcmdc2,0.002652766875627874,-1.1314646465185483,0.06322808370452253,0.006612413848215343,1.1755312736459071,0.037255358132980185,0.0033764884520099095,-0.034982571755328706,1.0
ENSMUSG00000098234,Snhg6,0.011790075002790551,-3.0253327613334777,4.494739951351921e-24,0.1005086904928732,2.2056169998351987,2.152760983740581e-17,0.07765923439622792,0.26410554677392284,1.0
ENSMUSG00000099032,Tcf24,0.0,-1.5273933228496865,0.45458622036755836,0.0007557044397960392,1.9124968678121128,0.2362222078593655,0.0,1.5499799289658274,1.0
ENSMUSG00000025916,Ppp1r42,0.006779293126604567,2.794534772037675,0.006046945666289155,0.0005667783298470293,-3.1098709452163416,0.0027724078373730096,0.0033764884520099095,0.701983022410877,1.0
ENSMUSG00000025917,Cops5,0.024464405630790394,-2.2288895734736545,4.651902861445004e-17,0.12053485814746824,1.910240893871745,4.967668320863132e-15,0.074282745944218,-0.1320939067043061,1.0
ENSMUSG00000056763,Cspp1,0.08813081064585937,0.31254702883420427,0.26265611220737295,0.07481473953980787,-0.10735290804690889,0.75936776524286,0.037141372972109,-1.0474735159385253,0.437772845547973
ENSMUSG00000067851,Arfgef1,0.23904377068157842,0.4697667253653517,0.03339505711464546,0.1813690655510494,-0.26258983874597863,0.28051311806644735,0.09454167665627747,-1.0863648505370866,0.2846265177690755
ENSMUSG00000042501,Cpa6,0.0020632631254883464,2.794534772037675,0.011885090870521559,0.0001889261099490098,-2.409431227075249,0.05267246763460476,0.0,0.701983022410877,1.0
ENSMUSG00000048960,Prex2,0.0005895037501395275,0.057569177871469535,1.0,0.0005667783298470293,-0.4094312270752489,0.864007239251088,0.0016882442260049548,2.286945523132035,0.8861805090446979
ENSMUSG00000057715,A830018L16Rik,0.0,-0.7904277286834809,0.6848311317774121,0.0003778522198980196,1.1755312736459071,0.6460487371626975,0.0,2.286945523132035,1.0
ENSMUSG00000016918,Sulf1,0.0,-0.7904277286834809,0.7007491841671319,0.0,-1.994393727796405,0.3147237025850151,0.0033764884520099095,5.456870524574347,0.1363274839832048
ENSMUSG00000025938,Slco5a1,0.0,-1.7904277286834809,0.27250415581065496,0.0005667783298470293,0.0056062722035949974,1.0,0.0033764884520099095,3.456870524574347,0.3331368229857719
ENSMUSG00000005886,Ncoa2,0.11171096065144047,0.5157674399392849,0.02828975757169969,0.08180500560792124,-0.31676497889701727,0.21182401439811063,0.04558259410213378,-0.9878485961642332,0.426130261231469
ENSMUSG00000101476,Gm29570,0.0,-0.2054652279623248,1.0,0.0001889261099490098,0.5905687729247511,1.0,0.0,2.871908023853191,1.0
ENSMUSG00000025935,Tram1,0.0804672618940455,-1.4627842414266103,1.0957588014915581e-10,0.2355908591064152,1.4836535690082386,5.748361444516036e-12,0.10467114201230719,-0.7216164903713898,0.6389088152026836
ENSMUSG00000025937,Lactb2,0.012969082503069605,-1.5015146910240817,1.1787236006483308e-05,0.039296630869394035,1.4650378908408923,5.4285413109913e-06,0.020258930712059458,-0.41064583270002775,1.0
ENSMUSG00000067813,Xkr9,0.0,-0.2054652279623248,1.0,0.0001889261099490098,0.5905687729247511,1.0,0.0,2.871908023853191,1.0
ENSMUSG00000025932,Eya1,0.0,-4.414918593591275,1.3407482982464385e-06,0.006612413848215343,3.7604937743670632,1.0965985798037778e-06,0.0016882442260049548,-0.29801697758912216,1.0
ENSMUSG00000032769,Trpa1,0.0,-0.2054652279623248,1.0,0.0001889261099490098,0.5905687729247511,1.0,0.0,2.871908023853191,1.0
ENSMUSG00000025925,Terf1,0.022106390630232283,-0.637017814024186,0.038692062349527864,0.036840591440056907,0.7958876809022568,0.005419098068762498,0.015194198034044593,-0.8883129226133191,0.678033756911056
ENSMUSG00000067795,4930444P10Rik,0.0,-0.2054652279623248,1.0,0.0001889261099490098,0.5905687729247511,1.0,0.0,2.871908023853191,1.0
ENSMUSG00000043716,Rpl7,0.701214710790968,-2.5489924885449065,3.618517508700585e-31,4.234400902287156,2.032502883478071,1.8513217159099347e-23,2.945986174378646,0.04410063711125467,1.0
ENSMUSG00000025921,Rdh10,0.008842556252092912,-1.019453242352375,0.010712689087444714,0.019837241544646028,1.2310263862376098,0.001258987146264596,0.0050647326780148645,-1.215554817397149,0.6280787476671519
ENSMUSG00000025920,Stau2,0.002652766875627874,-3.0634462230898976,1.2198331046442726e-12,0.02569395095306533,2.5186758544429653,1.4053951607466626e-11,0.013505953808039638,-0.14799153358451367,1.0
ENSMUSG00000089982,Gm7568,0.0,-0.2054652279623248,1.0,0.0001889261099490098,0.5905687729247511,1.0,0.0,2.871908023853191,1.0
ENSMUSG00000025939,Ube2w,0.044212781260464566,-0.4866967414804586,0.09208781301967217,0.06291239461302026,0.45071110934178993,0.10291959364412186,0.05571205945816351,0.04050762782893447,1.0
ENSMUSG00000079658,Eloc,0.3392594082052981,0.10182241592119423,0.7341131698066609,0.32495290911229685,0.0030935951546997575,1.0,0.23804243586669863,-0.4661848904651791,0.9501246477012459
ENSMUSG00000097744,D030040B21Rik,0.00029475187506976377,0.20957227131651912,1.0,0.0003778522198980196,0.17553127364590715,1.0,0.0,1.8719080238531909,1.0
ENSMUSG00000025940,Tmem70,0.00854780437702315,-1.8454690922414425,3.7359744238981204e-08,0.034006699790821764,1.9204896585656437,1.2574441159629412e-09,0.010129465356029729,-1.0349825717553278,0.5780978343807904
ENSMUSG00000025779,Ly96,0.04951831501172031,0.34992415737548477,0.234518253554409,0.040619113639037106,-0.17024356319582346,0.6121530502661198,0.023635419164069367,-0.8061638812594474,0.6860773082890227
